,id_rot_mem_fbk,id_rot_mem_fbk_rotacao,id_rot_mem_fbk_feedback,id_rot_mem_fbk_membro,cargo_rot_mem_fbk
0,77867306-fc95-4e16-8c00-d1129f4a2617,fbc4af27-7af1-4804-a090-ab770de33562,,102,Diretor
1,bf5b6eff-6be9-4354-826f-453e39fba63e,fbc4af27-7af1-4804-a090-ab770de33562,,54,Líder
2,f5f17b4d-a3db-4550-a678-1bc3b8a7f34d,fbc4af27-7af1-4804-a090-ab770de33562,,57,Membro
3,f9ba3a8f-85a6-4e2e-bb7f-51c792f03542,fbc4af27-7af1-4804-a090-ab770de33562,,129,Membro
4,d5b817fb-2aa6-4e4c-8763-a021fe82997f,fbc4af27-7af1-4804-a090-ab770de33562,,59,Membro
5,3960674f-09cd-4726-9d93-a21531c7cc71,fbc4af27-7af1-4804-a090-ab770de33562,,63,Membro
6,b48c55ed-8564-42aa-9ffd-10162280cb4b,6f6310d7-3e5b-47e0-9c03-6f0a08ff3114,,3,Diretor
7,01bbdcb8-47d3-464e-9eb7-f7ea3fac9dfa,6f6310d7-3e5b-47e0-9c03-6f0a08ff3114,,38,Líder
8,ab2c0d18-104b-4089-987c-64d9f9ca43be,6f6310d7-3e5b-47e0-9c03-6f0a08ff3114,,90,Membro
9,1b7279bd-5efc-4248-b265-6d1b1ed9f636,6f6310d7-3e5b-47e0-9c03-6f0a08ff3114,,120,Membro
10,fc0d5515-59f3-4639-a27e-11e80199759f,6f6310d7-3e5b-47e0-9c03-6f0a08ff3114,,17,Membro
11,7868b738-8b48-41d8-8829-d50ecc06c73e,6f6310d7-3e5b-47e0-9c03-6f0a08ff3114,,124,Membro
12,fc73ca31-36af-4025-9f54-532a881a2901,6f6310d7-3e5b-47e0-9c03-6f0a08ff3114,,100,Membro
13,6ad7e6ad-db27-44a1-9fd6-5e69af6a1eab,3c7a1297-dd96-4502-a4ce-0e51e70bad32,,3,Diretor
14,4b260e32-5f42-4cad-a52d-f522cdb752f0,3c7a1297-dd96-4502-a4ce-0e51e70bad32,,99,Líder
15,6003bc19-4592-4954-9487-f0cd62e21dd3,3c7a1297-dd96-4502-a4ce-0e51e70bad32,,36,Membro
16,a553be71-d967-44f0-a8ff-c5a031629436,3c7a1297-dd96-4502-a4ce-0e51e70bad32,,114,Membro
17,3a0cb3f2-1849-4103-bf8f-98229bd940d3,3c7a1297-dd96-4502-a4ce-0e51e70bad32,,69,Membro
18,52d4dbad-1cb4-4f74-84ee-08e3faf544f6,3c7a1297-dd96-4502-a4ce-0e51e70bad32,,90,Membro
19,b024f56e-b428-45d8-8297-616473da01b7,bba222da-e146-4443-b178-32780f703f72,,3,Diretor
20,18a41ea4-6b1d-4c22-baf0-ab728200568e,bba222da-e146-4443-b178-32780f703f72,,98,Líder
21,b13990b9-e656-4df9-bdba-f01804f2d56a,bba222da-e146-4443-b178-32780f703f72,,68,Membro
22,1e2cccd9-d148-4dc2-b42b-957063294af6,bba222da-e146-4443-b178-32780f703f72,,57,Membro
23,d2542583-4c9e-4a3d-b6c7-54bfda4e4904,bba222da-e146-4443-b178-32780f703f72,,36,Membro
24,2e54fe56-e633-4600-86d0-fc959fbf9f3d,bba222da-e146-4443-b178-32780f703f72,,78,Membro
25,7ec3073c-1c39-483c-838d-353751000663,bba222da-e146-4443-b178-32780f703f72,,114,Membro
26,c484b15c-00be-4bc9-8dd8-037769e0c66a,be6fd385-6542-46d3-8efd-ee4d3370db41,,7,Diretor
27,50df7be7-d139-4998-a4dd-bb0d0d596296,be6fd385-6542-46d3-8efd-ee4d3370db41,,103,Líder
28,5e264cb3-bcff-49b8-b395-6089396634d9,be6fd385-6542-46d3-8efd-ee4d3370db41,,59,Membro
29,945c91a2-8ae5-44af-ba5b-aa3ed25689b7,be6fd385-6542-46d3-8efd-ee4d3370db41,,64,Membro
30,592f517c-c485-4901-b1ad-53c43c6f71fd,be6fd385-6542-46d3-8efd-ee4d3370db41,,66,Membro
31,6d1f8ee4-113a-4489-8190-05e1aa83e1ac,be6fd385-6542-46d3-8efd-ee4d3370db41,,58,Membro
32,da6b9be4-52b9-42a0-ad85-7c7cc0095d92,be6fd385-6542-46d3-8efd-ee4d3370db41,,61,Membro
33,8b9dd650-ab3c-43df-a04c-d14206e9566d,657b58d2-47e5-41b6-9334-fb3713ddf067,,136,Líder
34,2501544c-a572-41cd-87e9-a51d802f1fce,657b58d2-47e5-41b6-9334-fb3713ddf067,,5,Diretor
35,f88fca5b-5766-41bc-83ed-24f80189592e,657b58d2-47e5-41b6-9334-fb3713ddf067,,67,Membro
36,261b24bf-cc24-4476-a70a-bbe04920a355,657b58d2-47e5-41b6-9334-fb3713ddf067,,56,Membro
37,421f577b-a264-433b-8fe2-642f44fa8de4,2cf8cc8f-02fb-477a-85cf-8d9a63941c2a,,1,Diretor
